chr	pos	eQTL_p	GWAS_p	KG_AF1	KG_AF2	CEU_AF1	CEU_AF2	KG_MAF	CEU_MAF
11	33961199	0.929996964269023	0.11	0.465056	0.534944	0.318841	0.681159	0.465056	0.318841
11	33961394	0.0778292889557552	0.067	0.620008	0.379992	0.463768	0.536232	0.379992	0.463768
11	33961394	0.0778292889557552	0.067	0.620008	0.379992	0.463768	0.536232	0.379992	0.463768
11	33961756	0.160816554546132	0.17	0.58766	0.41234	0.456522	0.543478	0.41234	0.456522
11	33962686	0.468776924843764	0.057	0.709864	0.290136	0.630435	0.369565	0.290136	0.369565
11	33962727	0.160816554546132	0.069	0.556709	0.443291	0.456522	0.543478	0.443291	0.456522
11	33963055	0.443081691229756	0.0086	0.980831	0.0191693	0.934783	0.0652174	0.0191693	0.0652174
11	33963848	0.00659408500150358	0.54	0.117013	0.882987	0.15942	0.84058	0.117013	0.15942
11	33964168	0.358334902175459	0.34	0.975639	0.024361	0.949275	0.0507246	0.024361	0.0507246
11	33964240	0.358334902175459	0.38	0.939696	0.0603035	0.949275	0.0507246	0.0603035	0.0507246
11	33964278	0.951949691539189	0.094	0.988019	0.0119808	0.963768	0.0362319	0.0119808	0.0362319
11	33965972	0.951949691539189	0.096	0.988019	0.0119808	0.963768	0.0362319	0.0119808	0.0362319
11	33966695	0.0215213698463112	0.58	0.161142	0.838858	0.152174	0.847826	0.161142	0.152174
11	33966963	0.358334902175459	0.35	0.975639	0.024361	0.949275	0.0507246	0.024361	0.0507246
11	33967637	0.358334902175459	0.34	0.975639	0.024361	0.949275	0.0507246	0.024361	0.0507246
11	33968531	0.150456003443823	0.38	0.107228	0.892772	0.202899	0.797101	0.107228	0.202899
11	33970829	0.250818067423547	0.7	0.35603	0.64397	0.543478	0.456522	0.35603	0.456522
11	33970913	0.358334902175459	0.43	0.974241	0.0257588	0.949275	0.0507246	0.0257588	0.0507246
11	33971407	0.377564008433236	0.81	0.392772	0.607228	0.536232	0.463768	0.392772	0.463768
11	33972482	0.377564008433236	0.71	0.469249	0.530751	0.536232	0.463768	0.469249	0.463768
11	33972549	0.4335540453373	0.39	0.965455	0.0345447	0.913043	0.0869565	0.0345447	0.0869565
11	33972846	0.4335540453373	0.39	0.965455	0.0345447	0.913043	0.0869565	0.0345447	0.0869565
11	33973310	0.4335540453373	0.37	0.965655	0.034345	0.913043	0.0869565	0.034345	0.0869565
11	33973415	0.4335540453373	0.37	0.965655	0.034345	0.913043	0.0869565	0.034345	0.0869565
11	33973822	0.4335540453373	0.37	0.965655	0.034345	0.913043	0.0869565	0.034345	0.0869565
11	33975157	0.4335540453373	0.36	0.818091	0.181909	0.913043	0.0869565	0.181909	0.0869565
11	33975575	0.0739236226453868	0.86	0.28155	0.71845	0.427536	0.572464	0.28155	0.427536
11	33975771	0.195735589176016	0.72	0.421925	0.578075	0.514493	0.485507	0.421925	0.485507
11	33975845	0.195735589176016	0.76	0.461262	0.538738	0.514493	0.485507	0.461262	0.485507
11	33976053	0.0739236226453868	0.87	0.38119	0.61881	0.427536	0.572464	0.38119	0.427536
11	33976218	0.0739236226453868	0.86	0.354034	0.645966	0.427536	0.572464	0.354034	0.427536
11	33976986	0.4335540453373	0.34	0.967252	0.0327476	0.913043	0.0869565	0.0327476	0.0869565
11	33977261	0.0739236226453868	0.91	0.296725	0.703275	0.427536	0.572464	0.296725	0.427536
11	33977407	0.0739236226453868	0.86	0.325879	0.674121	0.427536	0.572464	0.325879	0.427536
11	33977434	0.0739236226453868	0.86	0.32528	0.67472	0.427536	0.572464	0.32528	0.427536
11	33977605	0.0739236226453868	0.87	0.32528	0.67472	0.427536	0.572464	0.32528	0.427536
11	33977630	0.0739236226453868	0.87	0.32528	0.67472	0.427536	0.572464	0.32528	0.427536
11	33978153	0.0739236226453868	0.87	0.324481	0.675519	0.427536	0.572464	0.324481	0.427536
11	33978197	0.4335540453373	0.41	0.96845	0.0315495	0.913043	0.0869565	0.0315495	0.0869565
11	33978740	0.0739236226453868	0.89	0.324481	0.675519	0.427536	0.572464	0.324481	0.427536
11	33978855	0.0739236226453868	0.89	0.324081	0.675919	0.427536	0.572464	0.324081	0.427536
11	33978959	0.4335540453373	0.42	0.967652	0.0323482	0.913043	0.0869565	0.0323482	0.0869565
11	33979193	0.0739236226453868	0.9	0.323682	0.676318	0.427536	0.572464	0.323682	0.427536
11	33979576	0.0739236226453868	0.89	0.323482	0.676518	0.427536	0.572464	0.323482	0.427536
11	33979609	0.0739236226453868	0.87	0.322484	0.677516	0.427536	0.572464	0.322484	0.427536
11	33979609	0.0739236226453868	0.87	0.322484	0.677516	0.427536	0.572464	0.322484	0.427536
11	33979636	0.092494062163773	0.68	0.323882	0.676118	0.434783	0.565217	0.323882	0.434783
11	33979637	0.092494062163773	0.8	0.323882	0.676118	0.434783	0.565217	0.323882	0.434783
11	33979637	0.092494062163773	0.8	0.323882	0.676118	0.434783	0.565217	0.323882	0.434783
11	33979637	0.092494062163773	0.8	0.323882	0.676118	0.434783	0.565217	0.323882	0.434783
11	33979658	0.092494062163773	0.95	0.278155	0.721845	0.434783	0.565217	0.278155	0.434783
11	33979678	0.092494062163773	0.87	0.284944	0.715056	0.434783	0.565217	0.284944	0.434783
11	33979760	0.921499729744869	0.18	0.988019	0.0119808	0.934783	0.0652174	0.0119808	0.0652174
11	33979983	0.4335540453373	0.48	0.933506	0.0664936	0.913043	0.0869565	0.0664936	0.0869565
11	33980056	0.4335540453373	0.45	0.96865	0.0313498	0.913043	0.0869565	0.0313498	0.0869565
11	33980303	0.0739236226453868	0.84	0.323682	0.676318	0.427536	0.572464	0.323682	0.427536
11	33980661	0.195735589176016	0.88	0.394169	0.605831	0.514493	0.485507	0.394169	0.485507
11	33980676	0.0739236226453868	0.49	0.323682	0.676318	0.427536	0.572464	0.323682	0.427536
11	33981025	0.0739236226453868	0.86	0.323682	0.676318	0.427536	0.572464	0.323682	0.427536
11	33981672	0.0739236226453868	0.9	0.313299	0.686701	0.427536	0.572464	0.313299	0.427536
11	33982085	0.0739236226453868	0.84	0.342252	0.657748	0.427536	0.572464	0.342252	0.427536
11	33982201	0.540514185810853	0.36	0.86861	0.13139	0.927536	0.0724638	0.13139	0.0724638
11	33982853	0.0739236226453868	0.98	0.33746	0.66254	0.427536	0.572464	0.33746	0.427536
11	33984156	0.680939785135789	0.77	0.848243	0.151757	0.833333	0.166667	0.151757	0.166667
11	33985242	0.4335540453373	0.53	0.968251	0.0317492	0.913043	0.0869565	0.0317492	0.0869565
11	33985391	0.117386986114282	1	0.309904	0.690096	0.434783	0.565217	0.309904	0.434783
11	33985510	0.309896646534531	0.12	0.96226	0.0377396	0.971014	0.0289855	0.0377396	0.0289855
11	33986352	0.334739757547496	0.84	0.826278	0.173722	0.76087	0.23913	0.173722	0.23913
11	33986540	0.117386986114282	0.98	0.277756	0.722244	0.434783	0.565217	0.277756	0.434783
11	33986640	0.4335540453373	0.47	0.956669	0.0433307	0.913043	0.0869565	0.0433307	0.0869565
11	33988111	0.4335540453373	0.43	0.901957	0.0980431	0.913043	0.0869565	0.0980431	0.0869565
11	33988311	0.277590782431443	0.8	0.457668	0.542332	0.521739	0.478261	0.457668	0.478261
11	33989012	0.277590782431443	0.77	0.371805	0.628195	0.521739	0.478261	0.371805	0.478261
11	33989277	0.4335540453373	0.5	0.967851	0.0321486	0.913043	0.0869565	0.0321486	0.0869565
11	33989310	0.4335540453373	0.5	0.967851	0.0321486	0.913043	0.0869565	0.0321486	0.0869565
11	33989468	0.277590782431443	0.74	0.375998	0.624002	0.521739	0.478261	0.375998	0.478261
11	33989756	0.4335540453373	0.51	0.967652	0.0323482	0.913043	0.0869565	0.0323482	0.0869565
11	33989889	0.117386986114282	0.98	0.315895	0.684105	0.434783	0.565217	0.315895	0.434783
11	33989969	0.117386986114282	0.97	0.361022	0.638978	0.434783	0.565217	0.361022	0.434783
11	33990010	0.117386986114282	0.98	0.315495	0.684505	0.434783	0.565217	0.315495	0.434783
11	33990475	0.4335540453373	0.54	0.946486	0.0535144	0.913043	0.0869565	0.0535144	0.0869565
11	33990476	0.4335540453373	0.56	0.938299	0.0617013	0.913043	0.0869565	0.0617013	0.0869565
11	33990476	0.4335540453373	0.56	0.938299	0.0617013	0.913043	0.0869565	0.0617013	0.0869565
11	33992938	0.37475773657616	0.9	0.333866	0.666134	0.514493	0.485507	0.333866	0.485507
11	33993283	0.37475773657616	0.76	0.333466	0.666534	0.514493	0.485507	0.333466	0.485507
11	33993398	0.393438320486672	0.82	0.310503	0.689497	0.449275	0.550725	0.310503	0.449275
11	33993639	0.22476969642509	0.57	0.466454	0.533546	0.507246	0.492754	0.466454	0.492754
11	33993681	0.949081592649579	0.43	0.977236	0.0227636	0.934783	0.0652174	0.0227636	0.0652174
11	33994246	0.4335540453373	0.66	0.967652	0.0323482	0.913043	0.0869565	0.0323482	0.0869565
11	33994771	0.929843313108344	0.53	0.790535	0.209465	0.681159	0.318841	0.209465	0.318841
11	33995083	0.508354498565935	0.61	0.791334	0.208666	0.65942	0.34058	0.208666	0.34058
11	33995083	0.508354498565935	0.61	0.791334	0.208666	0.65942	0.34058	0.208666	0.34058
11	33995121	0.485164746436599	0.88	0.848842	0.151158	0.855072	0.144928	0.151158	0.144928
11	33995732	0.702473991845726	0.15	0.188498	0.811502	0.137681	0.862319	0.188498	0.137681
11	33995797	0.864965712169908	0.61	0.383786	0.616214	0.485507	0.514493	0.383786	0.485507
11	33996241	0.495900937783051	0.23	0.0908546	0.909145	0.152174	0.847826	0.0908546	0.152174
11	33996495	0.479570591981469	0.25	0.370607	0.629393	0.442029	0.557971	0.370607	0.442029
11	33996965	0.778331523426469	0.52	0.896565	0.103435	0.942029	0.057971	0.103435	0.057971
11	33998078	0.425417796916626	0.51	0.33147	0.66853	0.449275	0.550725	0.33147	0.449275
11	33998959	0.680622448049713	0.69	0.772364	0.227636	0.702899	0.297101	0.227636	0.297101
11	33999742	0.441010976349948	0.7	0.442292	0.557708	0.514493	0.485507	0.442292	0.485507
11	34000018	0.340979535586265	0.99	0.79972	0.20028	0.76087	0.23913	0.20028	0.23913
11	34000130	0.778331523426469	0.33	0.972045	0.0279553	0.942029	0.057971	0.0279553	0.057971
11	34000558	0.441010976349948	0.47	0.436701	0.563299	0.514493	0.485507	0.436701	0.485507
11	34002362	0.68370605194862	0.21	0.383387	0.616613	0.442029	0.557971	0.383387	0.442029
11	34003007	0.778331523426469	0.52	0.977636	0.0223642	0.942029	0.057971	0.0223642	0.057971
11	34003082	0.858198783368169	0.57	0.985423	0.0145767	0.956522	0.0434783	0.0145767	0.0434783
11	34003661	0.737378552804526	0.75	0.771166	0.228834	0.695652	0.304348	0.228834	0.304348
11	34004165	0.609763834143579	0.086	0.132788	0.867212	0.152174	0.847826	0.132788	0.152174
11	34004641	0.778331523426469	0.51	0.970847	0.0291534	0.942029	0.057971	0.0291534	0.057971
11	34004848	0.441010976349948	0.53	0.465056	0.534944	0.514493	0.485507	0.465056	0.485507
11	34005038	0.800763286367363	0.72	0.444489	0.555511	0.471014	0.528986	0.444489	0.471014
11	34005222	0.797207245685646	0.66	0.755591	0.244409	0.702899	0.297101	0.244409	0.297101
11	34005565	0.929062765075846	0.69	0.965655	0.034345	0.963768	0.0362319	0.034345	0.0362319
11	34005666	0.813353117450158	0.52	0.780551	0.219449	0.73913	0.26087	0.219449	0.26087
11	34006242	0.978047470689132	0.73	0.44389	0.55611	0.456522	0.543478	0.44389	0.456522
11	34006522	0.813353117450158	0.89	0.779952	0.220048	0.73913	0.26087	0.220048	0.26087
11	34007236	0.47166915081468	0.14	0.141374	0.858626	0.173913	0.826087	0.141374	0.173913
11	34007250	0.800763286367363	0.32	0.398762	0.601238	0.471014	0.528986	0.398762	0.471014
11	34007696	0.907685167350929	0.61	0.752995	0.247005	0.695652	0.304348	0.247005	0.304348
11	34008135	0.813353117450158	0.39	0.784545	0.215455	0.73913	0.26087	0.215455	0.26087
11	34008157	0.978047470689132	0.82	0.446685	0.553315	0.456522	0.543478	0.446685	0.456522
11	34009236	0.776899340161625	0.97	0.372204	0.627796	0.434783	0.565217	0.372204	0.434783
11	34009486	0.566740868959679	0.96	0.563299	0.436701	0.57971	0.42029	0.436701	0.42029
11	34009671	0.601098776128679	0.5	0.659744	0.340256	0.724638	0.275362	0.340256	0.275362
11	34009729	0.27352781688738	0.15	0.348442	0.651558	0.376812	0.623188	0.348442	0.376812
11	34010543	0.224645222298873	0.37	0.646765	0.353235	0.702899	0.297101	0.353235	0.297101
11	34010653	0.274485399184834	0.63	0.640575	0.359425	0.710145	0.289855	0.359425	0.289855
11	34010734	0.212078300296631	0.95	0.759984	0.240016	0.731884	0.268116	0.240016	0.268116
11	34010832	0.107598270841244	0.41	0.635583	0.364417	0.65942	0.34058	0.364417	0.34058
11	34011084	0.625169219868625	0.29	0.884185	0.115815	0.963768	0.0362319	0.115815	0.0362319
11	34011289	0.313882473643677	0.48	0.945288	0.0547125	0.978261	0.0217391	0.0547125	0.0217391
11	34011660	0.107598270841244	0.63	0.632588	0.367412	0.65942	0.34058	0.367412	0.34058
11	34011792	0.107333931874249	0.37	0.980431	0.0195687	0.905797	0.0942029	0.0195687	0.0942029
11	34011946	0.107598270841244	0.66	0.666933	0.333067	0.65942	0.34058	0.333067	0.34058
11	34012004	0.0998159784914346	0.74	0.75639	0.24361	0.688406	0.311594	0.24361	0.311594
11	34012331	0.313882473643677	0.46	0.954673	0.0453275	0.978261	0.0217391	0.0453275	0.0217391
11	34012541	0.313882473643677	0.48	0.938099	0.061901	0.978261	0.0217391	0.061901	0.0217391
11	34012704	0.0998159784914346	0.81	0.75619	0.24381	0.688406	0.311594	0.24381	0.311594
11	34012798	0.107598270841244	0.64	0.659345	0.340655	0.65942	0.34058	0.340655	0.34058
11	34013031	0.313882473643677	0.45	0.954673	0.0453275	0.978261	0.0217391	0.0453275	0.0217391
11	34013445	0.313882473643677	0.68	0.974641	0.0253594	0.978261	0.0217391	0.0253594	0.0217391
11	34013445	0.313882473643677	0.68	0.974641	0.0253594	0.978261	0.0217391	0.0253594	0.0217391
11	34013535	0.313882473643677	0.39	0.967452	0.0325479	0.978261	0.0217391	0.0325479	0.0217391
11	34013772	0.0998159784914346	0.45	0.755391	0.244609	0.688406	0.311594	0.244609	0.311594
11	34013886	0.107598270841244	0.4	0.671326	0.328674	0.65942	0.34058	0.328674	0.34058
11	34014510	0.0998159784914346	0.78	0.753794	0.246206	0.688406	0.311594	0.246206	0.311594
11	34014533	0.107598270841244	0.58	0.669728	0.330272	0.65942	0.34058	0.330272	0.34058
11	34015079	0.283325436912149	0.39	0.972644	0.0273562	0.934783	0.0652174	0.0273562	0.0652174
11	34016016	0.0998159784914346	0.76	0.752796	0.247204	0.688406	0.311594	0.247204	0.311594
11	34016756	0.810765711527227	0.33	0.958866	0.0411342	0.971014	0.0289855	0.0411342	0.0289855
11	34017460	0.16448006233648	0.49	0.676118	0.323882	0.652174	0.347826	0.323882	0.347826
11	34017956	0.16448006233648	0.51	0.675719	0.324281	0.652174	0.347826	0.324281	0.347826
11	34018159	0.16448006233648	0.51	0.677316	0.322684	0.652174	0.347826	0.322684	0.347826
11	34018300	0.810765711527227	0.3	0.948882	0.0511182	0.971014	0.0289855	0.0511182	0.0289855
11	34018570	0.0998159784914346	0.75	0.755192	0.244808	0.688406	0.311594	0.244808	0.311594
11	34019226	0.810765711527227	0.28	0.942891	0.0571086	0.971014	0.0289855	0.0571086	0.0289855
11	34019537	0.0236953420442182	0.41	0.752796	0.247204	0.710145	0.289855	0.247204	0.289855
11	34019579	0.0288822769664304	0.7	0.7498	0.2502	0.702899	0.297101	0.2502	0.297101
11	34019830	0.0288822769664304	0.79	0.720048	0.279952	0.702899	0.297101	0.279952	0.297101
11	34021560	0.0496581210143666	0.81	0.607628	0.392372	0.528986	0.471014	0.392372	0.471014
11	34022063	0.0496581210143666	0.83	0.607628	0.392372	0.528986	0.471014	0.392372	0.471014
11	34022294	0.0600430835734901	0.98	0.733027	0.266973	0.695652	0.304348	0.266973	0.304348
11	34022526	0.0288822769664304	0.85	0.733427	0.266573	0.702899	0.297101	0.266573	0.297101
11	34023156	0.810765711527227	0.26	0.976238	0.023762	0.971014	0.0289855	0.023762	0.0289855
11	34023522	0.0496581210143666	0.83	0.589257	0.410743	0.528986	0.471014	0.410743	0.471014
11	34023946	0.0288822769664304	0.86	0.732428	0.267572	0.702899	0.297101	0.267572	0.297101
11	34024046	0.543259608041037	0.44	0.935503	0.0644968	0.862319	0.137681	0.0644968	0.137681
11	34024580	0.513311020379554	0.85	0.89976	0.10024	0.833333	0.166667	0.10024	0.166667
11	34025053	0.0496581210143666	0.85	0.590455	0.409545	0.528986	0.471014	0.409545	0.471014
